ytid,start_s,end_s,category,error
-kpR93atgd8,30,40,account_terminated,ERROR: [youtube] -kpR93atgd8: This video is no longer available because the YouTube account associated with this video has been terminated.
-sevczF5etI,30,40,unavailable,ERROR: [youtube] -sevczF5etI: This video is unavailable
03frQGyrgQ4,30,40,age_signin_or_permission,"ERROR: [youtube] 03frQGyrgQ4: Private video. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  "
0AhX-ReXovI,120,130,age_signin_or_permission,ERROR: [youtube] 0AhX-ReXovI: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
0J_2K1Gvruk,30,40,age_signin_or_permission,"ERROR: [youtube] 0J_2K1Gvruk: Private video. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  "
0QYNC7J05XI,30,40,age_signin_or_permission,ERROR: [youtube] 0QYNC7J05XI: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
0VsjSa1X7iA,30,40,age_signin_or_permission,"ERROR: [youtube] 0VsjSa1X7iA: Private video. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  "
0i8VM_EooCs,30,40,copyright_removed,ERROR: [youtube] 0i8VM_EooCs: It was removed following a copyright removal request by Terrabyte Music Limited
0khKvVDyYV4,240,250,unavailable,ERROR: [youtube] 0khKvVDyYV4: This video is unavailable
1RhYdQnZ_hw,30,40,account_terminated,ERROR: [youtube] 1RhYdQnZ_hw: This video is no longer available because the YouTube account associated with this video has been terminated.
1SO5RJLWKAs,30,40,unavailable,ERROR: [youtube] 1SO5RJLWKAs: This video is unavailable
1TyOPtg0Yfk,30,40,account_terminated,ERROR: [youtube] 1TyOPtg0Yfk: This video is no longer available because the YouTube account associated with this video has been terminated.
1W2FOzSXsxs,30,40,age_signin_or_permission,ERROR: [youtube] 1W2FOzSXsxs: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube
1YPYQP6yupA,30,40,age_signin_or_permission,"ERROR: [youtube] 1YPYQP6yupA: Private video. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  "
1i1sbQOILb0,30,40,unavailable,ERROR: [youtube] 1i1sbQOILb0: This video is unavailable
25Ccp8usBtE,30,40,account_terminated,ERROR: [youtube] 25Ccp8usBtE: This video is no longer available because the YouTube account associated with this video has been terminated.
25RWrqQol7Y,30,40,age_signin_or_permission,"ERROR: [youtube] 25RWrqQol7Y: Private video. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  "
2G5bSYHcJSM,30,40,account_terminated,ERROR: [youtube] 2G5bSYHcJSM: This video is no longer available because the YouTube account associated with this video has been terminated.
2hgvuYGc95o,80,90,age_signin_or_permission,"ERROR: [youtube] 2hgvuYGc95o: Private video. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  "
32C6w8V7TX8,30,40,age_signin_or_permission,"ERROR: [youtube] 32C6w8V7TX8: Private video. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  "
338iZ76huSQ,80,90,postprocessing_error,ERROR: Postprocessing: WARNING: unable to obtain file audio codec with ffprobe
3TO4C7SiC7I,30,40,account_terminated,ERROR: [youtube] 3TO4C7SiC7I: This video is no longer available because the YouTube account associated with this video has been terminated.
3VEMHWnewuc,10,20,copyright_removed,ERROR: [youtube] 3VEMHWnewuc: It was removed following a copyright removal request by 創価学会
3obJKn19jTE,30,40,age_signin_or_permission,"ERROR: [youtube] 3obJKn19jTE: This video is private. If the owner of this video has granted you access, please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Al"
42xehaGoJbc,30,40,unavailable,ERROR: [youtube] 42xehaGoJbc: This video is unavailable
4Psyk_xyBl0,40,50,unavailable,ERROR: [youtube] 4Psyk_xyBl0: This video is unavailable
4i1aizhCnfg,30,40,postprocessing_error,ERROR: Postprocessing: WARNING: unable to obtain file audio codec with ffprobe
