ytid,start_s,end_s,filename,status,error
-0Gj8-vB1q4,30,40,[-0Gj8-vB1q4]-[30-40].wav,already_exists,
-0xzrMun0Rs,30,40,[-0xzrMun0Rs]-[30-40].wav,failed,ERROR: [youtube] -0xzrMun0Rs: This video is not available
-0vPFx-wRRI,30,40,[-0vPFx-wRRI]-[30-40].wav,ok,
-1UWSisR2zo,30,40,[-1UWSisR2zo]-[30-40].wav,ok,
-4NLarMj4xU,30,40,[-4NLarMj4xU]-[30-40].wav,ok,
-3Kv4fdm7Uk,30,40,[-3Kv4fdm7Uk]-[30-40].wav,ok,
-1OlgJWehn8,30,40,[-1OlgJWehn8]-[30-40].wav,ok,
-1LrH01Ei1w,30,40,[-1LrH01Ei1w]-[30-40].wav,ok,
-4SYC2YgzL8,30,40,[-4SYC2YgzL8]-[30-40].wav,ok,
-6HBGg1cAI0,30,40,[-6HBGg1cAI0]-[30-40].wav,ok,
-5f6hjZf9Yw,30,40,[-5f6hjZf9Yw]-[30-40].wav,ok,
-5FoeegAgvU,230,240,[-5FoeegAgvU]-[230-240].wav,ok,
-5xOcMJpTUk,70,80,[-5xOcMJpTUk]-[70-80].wav,ok,
-0SdAVK79lg,30,40,[-0SdAVK79lg]-[30-40].wav,ok,
-6QGvxvaTkI,280,290,[-6QGvxvaTkI]-[280-290].wav,ok,
-0xzrMun0Rs,30,40,[-0xzrMun0Rs]-[30-40].wav,failed,ERROR: [youtube] -0xzrMun0Rs: This video is not available
-8C-gydUbR8,30,40,[-8C-gydUbR8]-[30-40].wav,ok,
-6pcgdLfb_A,110,120,[-6pcgdLfb_A]-[110-120].wav,ok,
-7wUQP6G5EQ,30,40,[-7wUQP6G5EQ]-[30-40].wav,ok,
-88me9bBzrk,30,40,[-88me9bBzrk]-[30-40].wav,ok,
-BHPu-dPmWQ,30,40,[-BHPu-dPmWQ]-[30-40].wav,ok,
-7B9tPuIP-w,450,460,[-7B9tPuIP-w]-[450-460].wav,ok,
-ByoSbgzr4M,0,10,[-ByoSbgzr4M]-[0-10].wav,ok,
-Bu7YaslRW0,30,40,[-Bu7YaslRW0]-[30-40].wav,ok,
-Dtir74TiUM,40,50,[-Dtir74TiUM]-[40-50].wav,ok,
-CUp_Tmg2Y0,30,40,[-CUp_Tmg2Y0]-[30-40].wav,ok,
-EVRXQpt1-8,50,60,[-EVRXQpt1-8]-[50-60].wav,ok,
-FlvaZQOr2I,90,100,[-FlvaZQOr2I]-[90-100].wav,failed,ERROR: [youtube] -FlvaZQOr2I: This video is not available
-BIMKnb3tlo,410,420,[-BIMKnb3tlo]-[410-420].wav,ok,
-DeAdhYKbGE,290,300,[-DeAdhYKbGE]-[290-300].wav,ok,
-FFx68qSAuY,190,200,[-FFx68qSAuY]-[190-200].wav,ok,
-IZbvEO9wzU,30,40,[-IZbvEO9wzU]-[30-40].wav,ok,
-QuWdnmn-kM,30,40,[-QuWdnmn-kM]-[30-40].wav,failed,ERROR: [youtube] -QuWdnmn-kM: This video is not available
-Gf4Ihv1zwc,50,60,[-Gf4Ihv1zwc]-[50-60].wav,ok,
-NmjCyqIavI,30,40,[-NmjCyqIavI]-[30-40].wav,ok,
-M6K3QoHh40,30,40,[-M6K3QoHh40]-[30-40].wav,ok,
-8cgbhIR_pw,30,40,[-8cgbhIR_pw]-[30-40].wav,ok,
-O9mnfC61Ac,0,10,[-O9mnfC61Ac]-[0-10].wav,ok,
-JVWfFPBl84,330,340,[-JVWfFPBl84]-[330-340].wav,ok,
-JvB5AL59fM,30,40,[-JvB5AL59fM]-[30-40].wav,ok,
-OUIEnuNd1I,30,40,[-OUIEnuNd1I]-[30-40].wav,ok,
-Q9MTRXS4bE,30,40,[-Q9MTRXS4bE]-[30-40].wav,ok,
-RYtUAsNhF0,30,40,[-RYtUAsNhF0]-[30-40].wav,ok,
-R0267o4lLk,60,70,[-R0267o4lLk]-[60-70].wav,ok,
-FEPOSP7ay0,260,270,[-FEPOSP7ay0]-[260-270].wav,ok,
-T4GeTHKtJQ,30,40,[-T4GeTHKtJQ]-[30-40].wav,ok,
-U16iKiXGuY,30,40,[-U16iKiXGuY]-[30-40].wav,ok,
-Umconw-CRE,30,40,[-Umconw-CRE]-[30-40].wav,ok,
